Symbol,Name,Exchange,Sector,Industry,SCTR,Universe,Close,Volume,Market Cap
EXAS,EXACT Sciences Corp.,NASD,Health Care,Biotechnology,13.5,mid,48,1697728,8448
GH,Guardant Health Inc.,NASD,Health Care,Biotechnology,16.8,mid,48.45,824981,4941.9
MLCO,Melco Resorts & Entertainment Ltd.,NASD,Consumer Discretionary,Gambling,5.8,mid,5.73,4360537,2704.56
FTDR,"frontdoor, inc.",NASD,Consumer Discretionary,Special Consumer Services,49.1,sml,26.88,814278,2204.16
LABU,Direxion Daily S&P Biotech Bull 3x Shares,AMEX,,,,,9.56,63913534,1108.96
VVNT,"Vivint Smart Home, Inc.",NYSE,Consumer Staples,Nondurable Home Products,28.4,sml,4.54,605376,967.02
DM,Desktop Metal Inc.,NYSE,Technology,Computer Hardware,24.3,sml,2.61,10984703,816.93
SFIX,"Stitch Fix, Inc.",NASD,Consumer Discretionary,Clothing & Accessories,11.6,sml,6.6,3569657,712.8
SCO,ProShares UltraShort Bloomberg Crude Oil,NYSE,,,,,23.28,5056209,488.88
ZYME,Zymeworks Inc.,NYSE,Health Care,Biotechnology,14.3,sml,6.26,870349,363.08
FXE,Invesco CurrencyShares Euro Trust,NYSE,,,28.2,etf,94.04,115466,282.12
MGNX,MacroGenics Inc.,NASD,Health Care,Biotechnology,5.6,sml,3.48,944087,212.28
HOFT,Hooker Furniture Corp.,NASD,Consumer Discretionary,Furnishings,41.2,sml,16.78,109876,201.36
RCEL,Avita Medical Ltd.,NASD,Health Care,Medical Supplies,21.8,sml,5.64,49604,141
MGTA,"Magenta Therapeutics, Inc.",NASD,Health Care,Biotechnology,32.9,sml,2.01,99836,118.59
TXMD,"TherapeuticsMD, Inc.",NASD,Health Care,Pharmaceuticals,4.2,sml,6.54,557611,58.86
EMWP,Eros Media World Plc,NYSE,Communication Services,Entertainment,8.1,sml,2.28,116225,43.32
UDN,Invesco DB US Dollar Index Bearish Fund,NYSE,,,29,etf,18,92758,36
ABEO,Abeona Therapeutics Inc.,NASD,Health Care,Pharmaceuticals,27,sml,5.08,120549,30.48
HSTO,Histogen Inc.,NASD,Health Care,Biotechnology,,,3.09,79751,6.18
